"question_id"	"public_prompt_id"	"n.essay.sets"	"n.essays"	"topic"	"genre"	"min_words"	"max_words"	"prompt_level"	"prompt"
"5e6fb7d8-6ae6-417b-acd6-f695ccf06f5a"	"prompt_e0d347fb2afea90b"	103	447	"about university life"	"Write paragraphs to answer the question"	150	300	"Advanced"	"Some university students move away and live on their own while they are attending school, but others live at home with their family while they are students. Which do you think is a better choice? Give reasons to explain your answer."
"5e8c8533-41ff-4ef6-952b-2d6fd3be2e62"	"prompt_9564cdfd1ab47024"	103	447	"about medical doctors"	"Write paragraphs to answer the question"	150	300	"Advanced"	"Most medical doctors want to work in cities where they will make a lot of money. Yet in many rural areas there are not enough doctors. What are the reasons for this problem? How can it be solved?"
"59afb2a7-d87e-4001-b8ba-da8c5b041860"	"prompt_e3b16d9c3c7b3cc8"	103	420	"Learning English"	"An email"	40	200	"Beginner"	"Read this email from your cousin, Ana. Hi, I saw your mum yesterday. She told me you are learning English. That<U+2019>s good news! But I want to know why you are studying English. Why is learning the English language important to you? I wish you luck! Ana **Write an email to Ana and answer her question.**"
"5c01301b-3216-4a4e-ae64-f3eccf18fa05"	"prompt_6d735aae1b87fea9"	102	548	"Healthy living"	"An opinion essay"	150	200	"Intermediate"	"You have had a class discussion on the importance of exercise. Now your teacher has asked you to write a composition answering the following question: _Exercise is important for our health, but are there things that are more important?_ Write your composition."
"59afc967-a51e-4552-9906-0a32fa3ddbbf"	"prompt_30d627bea13ce859"	102	537	"A long calm life or a short intense life?"	"An opinion essay"	220	260	"Advanced"	"Would you like to live a long, calm life until 100 years old or would you prefer a shorter life but much more intense. Decide and explain your reasons."
"5e6fb47f-ef30-4b91-bb24-8e7afbb17b8e"	"prompt_6748f85e7e8f36b6"	102	506	"about studying abroad"	"Write paragraphs to answer the question"	150	300	"Intermediate"	"Some students choose to study in another country for a time during high school or university. What do you think are the advantages and disadvantages of studying abroad?"
"5e6fb4f9-5bb9-4bbc-9296-bd0c72b8815b"	"prompt_29081c0eb3c823b4"	102	504	"about zoos"	"Write paragraphs to answer the question"	150	300	"Intermediate"	"Some people believe zoos are good places for people to learn about animals. Other people believe animals belong in nature and it is wrong to keep them in zoos. What do you think? Explain, giving specific reasons for your choice."
"60216ed8-426e-4ac2-be6e-dc81571a4a17"	"prompt_87f7c87fb31b5da2"	102	504	"A special food you like to eat"	"An email"	30	75	"Beginner"	"Write to a student in another country describing a special food you like to eat. Make sure to tell them: <U+25CF> what the food is <U+25CF> when you usually eat the food <U+25CF> why you like this food Include more details. Write at least one paragraph."
"5e8c84d7-c0ec-46c5-99b5-e54728249e4b"	"prompt_39db840b1dee1ac1"	102	496	"about office design"	"Write paragraphs to answer the question"	150	300	"Advanced"	"In some offices, employees work in enclosed workstations or cubicles. Other offices have a more open design, in which there are no walls separating employees from their coworkers. Which type of arrangement do you think is most effective? Explain, giving reasons to support your answer."
"60216f1a-12c2-4e7b-8ef8-b14e4b58f8ee"	"prompt_23ed369963fb84a1"	102	491	"Sleep"	"An essay"	75	150	"Beginner"	"Read and answer the question below. Write at least 2 paragraphs. Some people sleep in a dark and quiet room. Other people sleep with a small light on and don't mind noise. How do you like to sleep? Explain your answer."
"5b48855d-1f2a-4033-bf17-18859cb40bfa"	"prompt_a48191f7b89e3523"	102	480	"The purpose of television"	"An opinion essay"	140	190	"Intermediate"	"You have had a class discussion on the purpose of television. Now your teacher has asked you to write a composition answering the following question: _Television entertains, but can it also educate?_ Write your composition."
"5e6fb842-3900-4d9e-8517-bc71dfecf09b"	"prompt_5be9aa25d9f61171"	102	468	"about studying music"	"Write paragraphs to answer the question"	150	300	"Advanced"	"In some schools, students must study music and learn to play a musical instrument. In other schools, studying music may not be required or there may be no music classes at all. Do you think all students should have to study music? Support your opinion with reasons and examples."
"5e8c844e-8110-44eb-8776-197c728ad2de"	"prompt_8e0f8cbbba514658"	102	461	"about volunteer work"	"Write paragraphs to answer the question"	150	300	"Advanced"	"Some high schools have a requirement that students must complete a certain amount of volunteer work in order to graduate. What do you think about this type of requirement? Give details to support your opinion."
"5c065772-6713-4dbd-a97e-282d00bbf970"	"prompt_2865cfff040b541d"	102	445	"Banning the use of mobile phones"	"A letter"	220	260	"Advanced"	"Your town council is thinking about banning the use of mobile phones on public transport and in shops and restaurants.<U+00A0> Write a letter to the town council giving your opinion about this and why you think it is or is not a good idea."
"5e8c81cf-f97b-4500-9ffd-874277fa4a9f"	"prompt_17eab621f9e89332"	102	432	"about using a computer"	"Write sentences to answer the questions"	50	100	"Beginner"	"* How often do you use a computer? * What do you usually use a computer for? * Tell us about what you enjoy doing most with a computer."
"5aeacad3-c1ac-43cb-8b41-b82253a5c790"	"prompt_6305e66e9a1bd3db"	102	420	"A trip with your class"	"An email"	80	200	"Beginner"	"Last week you went on a trip with some students from your class. Write an email to your friend, Billal. In your email:<U+00A0><U+00A0> * say where you went<U+00A0><U+00A0> * say what you did<U+00A0> * say why you enjoyed the trip.<U+00A0><U+00A0><U+00A0> Write about 80 words."
"58cbb4c5-c39d-489f-a8c2-cbc5bc8b6447"	"prompt_98e191fa5bded725"	102	411	"A school friend"	"An email"	50	200	"Beginner"	"A friend from your class, Cristina, had an accident last week.<U+00A0><U+00A0><U+00A0> Now, her doctor says she must stay at home for two weeks. Write a note to Cristina. In the note: * tell her you are sorry about her problem * say what you can do to help her * say when you can visit her. Write about 50 words."
"5aeac965-15cd-49b8-b6d7-48c069930ee9"	"prompt_4671630d1fa03592"	102	410	"What you like to eat"	"An email"	30	200	"Beginner"	"Your friend Rie sends you an email:<U+00A0><U+00A0><U+00A0><U+00A0> _Hi, Can you come to my house for dinner tomorrow? What do you like to eat? Come at 7 o'clock. See you. Rie_ Write a note to Rie. In your note:<U+00A0><U+00A0><U+00A0><U+00A0> * say you can come to dinner<U+00A0><U+00A0><U+00A0> * say what you like to eat.<U+00A0><U+00A0><U+00A0><U+00A0> Write about 30 words."
"59afb6f5-ef47-4ed5-ba35-4e593efb8816"	"prompt_58b9f5f522c0a1ba"	102	404	"Learning English"	"An article"	140	190	"Intermediate"	"You have been asked to write a short **article** for your school magazine with the title: _My reasons for learning English_ Describe your reasons for learning English **and** explain why it is important to you. **Write your article.**"
"5e8c825d-2c59-4813-ba95-e599fd9bf913"	"prompt_2adc00d65002bc78"	101	566	"about indoor activities"	"Write sentences to answer the questions"	50	100	"Beginner"	"* What is your favorite indoor activity? * Why do you like this activity? * Tell us about the last time that you did this activity."
"5c0655da-0d53-4b8b-9915-143ec03f6ba4"	"prompt_1a893b704d9d98d4"	101	546	"Telling the truth"	"An opinion essay"	220	260	"Advanced"	"Many people believe that it is important to always tell the truth. In your opinion, is it ever acceptable to tell a lie?<U+00A0> Explain your answer giving reasons and specific examples."
"59afc0e3-b4a6-415d-a8fe-862189a615e9"	"prompt_49f744b86a7de069"	101	483	"Instructions"	"A note"	30	200	"Beginner"	"Your neighbour is going to look after your house while you are on holiday. Write a note to tell him what he must do. For example, you can write about: * keys<U+00A0> * plants<U+00A0> * pets<U+00A0> * mail"
"6092b99c-57c6-4306-adeb-6e71d4112087"	"prompt_43448f28d3ce551a"	101	474	"A trip to the science museum"	"An email"	30	200	"Beginner"	"Your English friend Chris is coming with you and your family to the local museum next Saturday.<U+00A0> Write an email to Chris. Tell Chris: - how you will travel to the museum - what he can see at the museum - what he needs to bring.<U+00A0> Write 25 words or more."
"5cc5f24f-c262-4f05-9b6a-e823f85d654e"	"prompt_9975b4bd24cfacd8"	101	420	"The best holiday ever"	"An essay"	150	200	"Intermediate"	"Write about a holiday that you went on that was really important to you. Say where you went and what you saw, and explain why it was the best holiday you ever had."
"5a550121-52f3-4f3b-b95c-f0f14e331b05"	"prompt_13020c2a757e39d5"	101	405	"Health or wealth?"	"An opinion essay"	150	200	"Intermediate"	"You have recently had a class discussion about the importance of taking care of your health. Now your English teacher has asked you to write an essay giving your opinions on the following statement: _It is more important to be healthy than to be rich._ Write your **essay.**"
"58b41112-df6e-4496-aba3-9b55beab8634"	"prompt_a3271cf10d32656b"	101	384	"Learning a new language"	"An opinion essay"	140	190	"Intermediate"	"Is learning to speak a foreign language as important these days as it was in the past? Write an **essay** giving your opinion."
"6144c02e-79e3-4240-85ff-fea4cf1fc5d4"	"prompt_d5dbd9c04a5c932d"	100	449	"Music in our lives"	"An article"	140	190	"Intermediate"	"You have seen this notice in an international music magazine: **Articles wanted** **Do we need music in our lives?** Are there times when music is important? How does music make us feel? What would life be like without music? Write and tell us what you think. Write your **article** in **140 <U+2013> 190** words in an appropriate style."
"5c012f23-4ff0-494a-961c-88012d3dc1a3"	"prompt_58852905890136d4"	100	429	"The Future of Travel"	"An article"	150	200	"Intermediate"	"You see a request for articles in a magazine: We invite you to write about: _The Future of Travel_. In what ways do you think travel will be different in the future? In what ways might it still be the same? The writer of the best article will win a prize! Write your article."
"617ab377-3ab3-403d-81f5-aab49b2f67d4"	"prompt_91752a41d038711e"	100	403	"A visit from a friend"	"An email"	30	200	"Beginner"	"Your friend Sam is coming to your house tomorrow evening. Write an email to Sam. Tell Sam: * **what** time to come * **what** to bring * **how** to get to your house. Write **25** **words** or more."
"5aeac7ca-feaf-408e-97e0-f81f623e9adb"	"prompt_40037060180c75db"	100	402	"What you do in your free time"	"An essay"	40	200	"Beginner"	"Your teacher asks you to write about what you do in your free time.<U+00A0><U+00A0><U+00A0> Write about:<U+00A0><U+00A0><U+00A0> * the things you do in your free time<U+00A0><U+00A0> * when you do these things.<U+00A0><U+00A0><U+00A0><U+00A0> <U+00A0>Write about 40 words."
"59afca9c-2cbd-4a0f-a46e-a56cea961049"	"prompt_de206ba1795e8dc5"	99	503	"My favourite film"	"An email"	100	200	"Intermediate"	"What is your favourite film? Write a letter to your pen friend. Explain why you like the film and why you think your pen friend should watch it."
"7e31573f-dd8e-11e6-9c3d-0600f3293cb7"	"prompt_046678dfe42e3068"	99	500	"Write and Improve"	"A report"	140	190	"Intermediate"	"Your English teacher told you about Write and Improve and said you should use it to practise and improve your English writing.<U+00A0> Your teacher has asked you to write **a report** about your experience with Write and Improve, describing what you liked or didn<U+2019>t like about it and why. Finish by saying whether you would recommend your classmates to try it. Write your **report**."
"7df718bf-dd8e-11e6-9c3d-0600f3293cb7"	"prompt_305b51299790d8a8"	99	461	"My favourite season of the year"	"An article"	140	190	"Intermediate"	"You have been asked to write a short __article__ for your school magazine with the title: *My favourite season of the year.* Describe your favourite season __and__ explain why it is so special for you. __Write your article.__"
"5b48860a-2a22-425e-9813-379c8144e118"	"prompt_179938ed5e90b50a"	99	455	"The school of the future"	"An article (for a newspaper or magazine)"	140	190	"Intermediate"	"You see a request for articles in a magazine: We invite you to write about: _The School of the Future_. In what ways do you think schools will be different in the future? In what ways might they still be the same? The writer of the best article will win a prize! Write your article."
"58f72add-8eb8-4fb2-a222-4aa002954490"	"prompt_719435a48902a4b5"	98	390	"Studying a new subject"	"A note"	50	60	"Beginner"	"You are studying English. You also want to study another subject. Write a note to your teacher. In your note: * say what other subject you want to study * say why you want to do this course * say when you want to do this course * ask your teacher to help you."
"58f72d0c-ad4f-4e27-b06b-7dc57aed8ce8"	"prompt_2ef4e350c1009968"	97	451	"Your home town"	"A paragraph"	40	200	"Beginner"	"Write a paragraph for a brochure about your home town. You must include TWO of these things: <U+00B7> Information about **important landmarks** <U+00B7> Information about **shopping** and **accommodation** <U+00B7> Information about **parks, museums** and **restaurants** <U+00B7> Information about **night-time entertainment.**"
"5aeb403b-ec8e-4087-917b-bdd5da1f8f65"	"prompt_6cb0c85d60a4ef2e"	96	559	"Young people and sports"	"An argumentative essay"	300	300	"Advanced"	"Because of the negative effects on health of an inactive lifestyle, all university students and school children should be forced to do sports activities at least 3 times per week. Do you agree? Write your **argumentative essay**."
"58908d08-f49c-4b8a-9574-28f43b7dde49"	"prompt_82f61f70f00cce70"	96	392	"Books and technology"	"An opinion essay"	140	190	"Intermediate"	"Should computers and tablets completely replace books in schools and<U+00A0> universities? Write an **essay** giving your opinion."
"7e315797-dd8e-11e6-9c3d-0600f3293cb7"	"prompt_e404501e9bbbc094"	95	470	"Write and Improve"	"A review"	200	260	"Advanced"	"A well-known magazine for English language learners has asked for reviews from readers about useful resources for learning English. You have recently discovered Write and Improve, a new writing tool for learners of English. Write a review for the magazine describing the main features of the tool and why it is/isn<U+2019>t helpful. Include details about what you like about the tool and about any difficulties you had with it, and finish by giving your recommendation for other readers. Write your **review**."
"58f72f03-6693-4b7c-af4a-8130ffc34a97"	"prompt_d3e35405e2378ac9"	92	400	"A concert you went to"	"An email"	100	200	"Intermediate"	"Last week, you went to a music concert. Now you are writing a letter to an English-speaking friend. Explain why you decided to go to the concert, give some information about who was performing, and describe what happened at the concert."
