"index_in_split"	"public_essay_id"	"public_prompt_id"	"public_user_id"	"L1"	"version"	"split"	"noop"	"n.edits"	"auto_cefr"	"human_cefr"
85	"essay_66d6b83082b51e54"	"prompt_9975b4bd24cfacd8"	"user_43c0104f9da00e06"	"Spanish"	"first"	"train"	FALSE	23	"B1"	NA
86	"essay_89b9daa8bbe700e1"	"prompt_6305e66e9a1bd3db"	"user_23aea986de7847ee"	"Japanese"	"first"	"train"	FALSE	21	"B1+"	NA
87	"essay_de777644c4d5801d"	"prompt_79d7b6720d30aa96"	"user_d587b9636af2975e"	"Portuguese"	"first"	"train"	FALSE	32	"B1"	NA
88	"essay_62170c8b3e6d04bc"	"prompt_6305e66e9a1bd3db"	"user_309b69e23ff98c19"	"Dutch"	"first"	"train"	FALSE	20	"A2+"	NA
89	"essay_4a5705b940a7d3f2"	"prompt_e3b16d9c3c7b3cc8"	"user_23aea986de7847ee"	"Japanese"	"first"	"train"	FALSE	8	"A2"	NA
90	"essay_66cdaabfe827da49"	"prompt_2ef4e350c1009968"	"user_23aea986de7847ee"	"Japanese"	"first"	"train"	FALSE	14	"A2"	NA
91	"essay_66c3a2cdbb8ecf5f"	"prompt_046678dfe42e3068"	"user_23aea986de7847ee"	"Japanese"	"first"	"train"	FALSE	30	"B1"	NA
92	"essay_1e197d4ad872082f"	"prompt_e4c497f7613dcf8a"	"user_23aea986de7847ee"	"Japanese"	"first"	"train"	FALSE	41	"A2"	NA
93	"essay_5fefecbe3d247682"	"prompt_6d735aae1b87fea9"	"user_67f16ac28e1c26ab"	"Arabic"	"first"	"train"	FALSE	55	"B1"	NA
94	"essay_efcda22c00971906"	"prompt_91626718bd3e657e"	"user_39f16c41d49d186a"	"Spanish"	"first"	"train"	FALSE	15	"B1"	NA
95	"essay_cc584144550d945f"	"prompt_1a893b704d9d98d4"	"user_917236f9aec8ca4f"	"Czech"	"first"	"train"	FALSE	19	"B2"	NA
96	"essay_e4d6adb39c7fb4f4"	"prompt_6d735aae1b87fea9"	"user_23aea986de7847ee"	"Japanese"	"first"	"train"	FALSE	26	"B1"	NA
97	"essay_a2185e9594ca565e"	"prompt_7fb0941f7b739572"	"user_39f16c41d49d186a"	"Spanish"	"first"	"train"	FALSE	14	"A2+"	NA
98	"essay_bba48f95df43627c"	"prompt_79d7b6720d30aa96"	"user_39f16c41d49d186a"	"Spanish"	"first"	"train"	FALSE	10	"B1"	NA
99	"essay_a2a7c3b6a8cc2931"	"prompt_e4c497f7613dcf8a"	"user_6ce7e27a05893051"	"Italian"	"first"	"train"	FALSE	23	"B2"	NA
100	"essay_d84126527ebf3ad0"	"prompt_9975b4bd24cfacd8"	"user_6ce7e27a05893051"	"Italian"	"first"	"train"	FALSE	31	"C2"	NA
101	"essay_077f403062d80dfd"	"prompt_58852905890136d4"	"user_23aea986de7847ee"	"Japanese"	"first"	"train"	FALSE	39	"B1"	NA
102	"essay_b6de403f3678b50f"	"prompt_046678dfe42e3068"	"user_39f16c41d49d186a"	"Spanish"	"first"	"train"	FALSE	25	"B1+"	NA
103	"essay_54483e4ff8d33744"	"prompt_6e0152cf70e42a3a"	"user_39f16c41d49d186a"	"Spanish"	"first"	"train"	FALSE	7	"B1"	NA
104	"essay_0c6be38af0331151"	"prompt_1a893b704d9d98d4"	"user_2e3a93eb5b9339be"	"Arabic"	"first"	"train"	FALSE	35	"B2+"	NA
105	"essay_fefeef17f2b5a20d"	"prompt_6e0152cf70e42a3a"	"user_5b1d6d16eb86a2ce"	"Spanish"	"first"	"train"	FALSE	16	"A2"	NA
106	"essay_f91baa7fd8fa8759"	"prompt_4671630d1fa03592"	"user_39f16c41d49d186a"	"Spanish"	"first"	"train"	FALSE	5	"A2+"	NA
107	"essay_51abd9d93f6d5857"	"prompt_4671630d1fa03592"	"user_309b69e23ff98c19"	"Dutch"	"first"	"train"	FALSE	10	"A2+"	NA
108	"essay_a97cabc22dfa6657"	"prompt_79d7b6720d30aa96"	"user_c493c9711bbf8514"	"Spanish"	"first"	"train"	FALSE	20	"A2+"	NA
109	"essay_1512f87a33701c49"	"prompt_6d735aae1b87fea9"	"user_0332f768f552f37a"	"Romanian"	"first"	"train"	FALSE	35	"B1"	NA
110	"essay_90c9c5047f555562"	"prompt_9975b4bd24cfacd8"	"user_0332f768f552f37a"	"Romanian"	"first"	"train"	FALSE	14	"B1+"	NA
111	"essay_3859002a646b9cef"	"prompt_13020c2a757e39d5"	"user_6c60e1544c3d7807"	"Arabic"	"first"	"train"	FALSE	55	"A2+"	NA
112	"essay_e74eb3e091ce8c12"	"prompt_9975b4bd24cfacd8"	"user_f7bfe160a2be2454"	"Italian"	"first"	"train"	FALSE	30	"B1+"	NA
113	"essay_61799ee6e452b374"	"prompt_13020c2a757e39d5"	"user_b1149511adb1928a"	"Arabic"	"first"	"train"	FALSE	32	"B2+"	NA
114	"essay_89556aa158673589"	"prompt_179938ed5e90b50a"	"user_23aea986de7847ee"	"Japanese"	"first"	"train"	FALSE	22	"B1"	NA
115	"essay_ea24efb20c7b864e"	"prompt_82f61f70f00cce70"	"user_b1149511adb1928a"	"Arabic"	"first"	"train"	FALSE	26	"B1"	NA
116	"essay_1f74ac2f84734a7c"	"prompt_a3271cf10d32656b"	"user_b1149511adb1928a"	"Arabic"	"first"	"train"	FALSE	33	"B2"	NA
117	"essay_6846932991ee3c0b"	"prompt_d3e35405e2378ac9"	"user_d7febe8b30024be6"	"Romanian"	"first"	"train"	FALSE	25	"B1+"	NA
118	"essay_a463231f483bcfe8"	"prompt_305b51299790d8a8"	"user_b1149511adb1928a"	"Arabic"	"first"	"train"	FALSE	19	"B1"	NA
119	"essay_e2da1c2300433d88"	"prompt_de206ba1795e8dc5"	"user_6c60e1544c3d7807"	"Arabic"	"first"	"train"	FALSE	38	"A2"	NA
120	"essay_ab19dfd9385929a6"	"prompt_7fb0941f7b739572"	"user_c493c9711bbf8514"	"Spanish"	"first"	"train"	FALSE	9	"B1+"	NA
121	"essay_fa74abe11d6b0280"	"prompt_49f744b86a7de069"	"user_309b69e23ff98c19"	"Dutch"	"first"	"train"	FALSE	12	"A1+"	NA
122	"essay_9d119c832c52f831"	"prompt_58b9f5f522c0a1ba"	"user_6c60e1544c3d7807"	"Arabic"	"first"	"train"	FALSE	55	"B1"	NA
123	"essay_30d5165867efd5a1"	"prompt_13020c2a757e39d5"	"user_23aea986de7847ee"	"Japanese"	"first"	"train"	FALSE	23	"A2+"	NA
124	"essay_1d8fec9a1190aba2"	"prompt_e3b16d9c3c7b3cc8"	"user_309b69e23ff98c19"	"Dutch"	"first"	"train"	FALSE	38	"A2+"	NA
125	"essay_3948ba2d7eb66779"	"prompt_de206ba1795e8dc5"	"user_23aea986de7847ee"	"Japanese"	"first"	"train"	FALSE	17	"B1"	NA
126	"essay_623591a30a10e97a"	"prompt_58b9f5f522c0a1ba"	"user_23aea986de7847ee"	"Japanese"	"first"	"train"	FALSE	28	"B2"	NA
127	"essay_9d49f6790c2d8c0e"	"prompt_d3e35405e2378ac9"	"user_23aea986de7847ee"	"Japanese"	"first"	"train"	FALSE	18	"B1+"	NA
128	"essay_038931d9205fa93d"	"prompt_9975b4bd24cfacd8"	"user_5b1d6d16eb86a2ce"	"Spanish"	"first"	"train"	FALSE	38	"A2"	NA
129	"essay_6029132cd99a3c68"	"prompt_719435a48902a4b5"	"user_309b69e23ff98c19"	"Dutch"	"first"	"train"	FALSE	13	"A2+"	NA
130	"essay_5ed2c854c215d809"	"prompt_58b9f5f522c0a1ba"	"user_6e932f51e9ba2869"	"Italian"	"first"	"train"	FALSE	4	"C1"	NA
131	"essay_ebd91e9ed42e9396"	"prompt_de206ba1795e8dc5"	"user_6e932f51e9ba2869"	"Italian"	"first"	"train"	FALSE	5	"B2"	NA
132	"essay_f0720988385217b2"	"prompt_a48191f7b89e3523"	"user_6e932f51e9ba2869"	"Italian"	"first"	"train"	FALSE	6	"C1"	NA
133	"essay_217cd6ee0c41edbe"	"prompt_1a893b704d9d98d4"	"user_d65244104a5c79c6"	"German"	"first"	"train"	FALSE	29	"B2+"	NA
134	"essay_e463436a8b57d8bd"	"prompt_d3e35405e2378ac9"	"user_b07cd7e3e82ecbcb"	"Romanian"	"first"	"train"	FALSE	13	"B1"	NA
135	"essay_e56a11709feee8e2"	"prompt_a3271cf10d32656b"	"user_23aea986de7847ee"	"Japanese"	"first"	"train"	FALSE	27	"B2"	NA
136	"essay_d98058a7d50814df"	"prompt_4671630d1fa03592"	"user_c493c9711bbf8514"	"Spanish"	"first"	"train"	FALSE	4	"A2+"	NA
137	"essay_b242965d1c159cf7"	"prompt_6e0152cf70e42a3a"	"user_c493c9711bbf8514"	"Spanish"	"first"	"train"	FALSE	7	"A2+"	NA
138	"essay_690bdfb66683e1cf"	"prompt_40037060180c75db"	"user_71ee19c1ac6f7ca0"	"Vietnamese"	"first"	"train"	FALSE	9	"A2+"	NA
139	"essay_416e28030844761e"	"prompt_4671630d1fa03592"	"user_71ee19c1ac6f7ca0"	"Vietnamese"	"first"	"train"	FALSE	2	"A2+"	NA
140	"essay_02f5b9c58b1769d6"	"prompt_91626718bd3e657e"	"user_99ea8e2674631ed6"	"Chinese"	"first"	"train"	FALSE	22	"B1"	NA
141	"essay_a482cf470363ebfd"	"prompt_6305e66e9a1bd3db"	"user_c493c9711bbf8514"	"Spanish"	"first"	"train"	FALSE	14	"B1+"	NA
142	"essay_4f7ecf036741a7f3"	"prompt_6d735aae1b87fea9"	"user_0551656b7dacb6d7"	"Spanish"	"first"	"train"	FALSE	34	"B1+"	NA
143	"essay_ed93bd971580d33f"	"prompt_13020c2a757e39d5"	"user_f7bfe160a2be2454"	"Italian"	"first"	"train"	FALSE	19	"B2"	NA
144	"essay_a3105caf6e212db9"	"prompt_a3271cf10d32656b"	"user_f7bfe160a2be2454"	"Italian"	"first"	"train"	FALSE	21	"B2"	NA
145	"essay_e08d8447fb882bb6"	"prompt_82f61f70f00cce70"	"user_f7bfe160a2be2454"	"Italian"	"first"	"train"	FALSE	35	"B1+"	NA
146	"essay_f75225c595475924"	"prompt_91626718bd3e657e"	"user_8527a0a64d4d23fd"	"Thai"	"first"	"train"	FALSE	28	"B1"	NA
147	"essay_cdb797fe245229fb"	"prompt_79d7b6720d30aa96"	"user_99ea8e2674631ed6"	"Chinese"	"first"	"train"	FALSE	18	"B2+"	NA
148	"essay_88d158a004612222"	"prompt_1a893b704d9d98d4"	"user_d587b9636af2975e"	"Portuguese"	"first"	"train"	FALSE	58	"B1+"	NA
149	"essay_ff9778753f8c7310"	"prompt_6e0152cf70e42a3a"	"user_71ee19c1ac6f7ca0"	"Vietnamese"	"first"	"train"	FALSE	8	"B1+"	NA
150	"essay_9abec3781ffc8a85"	"prompt_e4c497f7613dcf8a"	"user_988d09923a575616"	"Hindi"	"first"	"train"	FALSE	29	"B1+"	NA
151	"essay_b02c9c4d46856302"	"prompt_9975b4bd24cfacd8"	"user_67f16ac28e1c26ab"	"Arabic"	"first"	"train"	FALSE	37	"B2"	NA
152	"essay_9223cea2a39baf80"	"prompt_7fb0941f7b739572"	"user_99ea8e2674631ed6"	"Chinese"	"first"	"train"	FALSE	11	"B2"	NA
153	"essay_98aa7c3b04b277fb"	"prompt_40037060180c75db"	"user_99ea8e2674631ed6"	"Chinese"	"first"	"train"	FALSE	8	"A2+"	NA
154	"essay_ff80580aae0c8778"	"prompt_91626718bd3e657e"	"user_d587b9636af2975e"	"Portuguese"	"first"	"train"	FALSE	11	"B1"	NA
155	"essay_0ca2e90cc3f9d13a"	"prompt_6305e66e9a1bd3db"	"user_39f16c41d49d186a"	"Spanish"	"first"	"train"	FALSE	18	"B1+"	NA
156	"essay_a660176c304fecaa"	"prompt_79d7b6720d30aa96"	"user_8527a0a64d4d23fd"	"Thai"	"first"	"train"	FALSE	26	"A2+"	NA
157	"essay_0750f50100265e60"	"prompt_e404501e9bbbc094"	"user_81175b8d5e73019a"	"German"	"first"	"train"	FALSE	20	"C1+"	NA
158	"essay_59ccb1973c5036fc"	"prompt_1a893b704d9d98d4"	"user_81175b8d5e73019a"	"German"	"first"	"train"	FALSE	20	"C1"	NA
159	"essay_cacec5e89afda59a"	"prompt_40037060180c75db"	"user_c493c9711bbf8514"	"Spanish"	"first"	"train"	FALSE	4	"A2+"	NA
160	"essay_f014699f5f0ffeee"	"prompt_179938ed5e90b50a"	"user_309b69e23ff98c19"	"Dutch"	"first"	"train"	FALSE	24	"B2"	NA
161	"essay_b32de0ae2b9f7450"	"prompt_91626718bd3e657e"	"user_73a996108410cdc2"	"Portuguese"	"first"	"train"	FALSE	10	"A2+"	NA
162	"essay_bcf56f5bb93fe5b5"	"prompt_2865cfff040b541d"	"user_75a128ba656ae016"	"Dutch"	"first"	"train"	FALSE	7	"C1+"	NA
163	"essay_515dc7e71f81d5ca"	"prompt_79d7b6720d30aa96"	"user_01830be73401b13f"	"Czech"	"first"	"train"	FALSE	13	"A2+"	NA
164	"essay_fdaf7344b0b41a1e"	"prompt_6d735aae1b87fea9"	"user_01830be73401b13f"	"Czech"	"first"	"train"	FALSE	18	"B2"	NA
165	"essay_20c6002b0f630b01"	"prompt_e404501e9bbbc094"	"user_94154d5c9f2be826"	"Italian"	"first"	"train"	FALSE	28	"C1"	NA
166	"essay_f2daad0a4628ddef"	"prompt_7fb0941f7b739572"	"user_8527a0a64d4d23fd"	"Thai"	"first"	"train"	FALSE	9	"A2+"	NA
167	"essay_5a965fb71f3c99bc"	"prompt_91626718bd3e657e"	"user_f6d69170fb634a9c"	"Polish"	"first"	"train"	FALSE	4	"B1+"	NA
168	"essay_c500e7917f5cb49e"	"prompt_49f744b86a7de069"	"user_c493c9711bbf8514"	"Spanish"	"first"	"train"	FALSE	16	"A2+"	NA
169	"essay_7fcdbe4d58df35fe"	"prompt_e3b16d9c3c7b3cc8"	"user_c493c9711bbf8514"	"Spanish"	"first"	"train"	FALSE	4	"A2"	NA
